"naics_industry","province","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Information, culture and recreation","Prince Edward Island",2.5,2.7,2.6,2.4,2.6,2.9,2.6,2.3,2.2,2.5
"Accommodation and food services","Prince Edward Island",5.6,5.3,5.2,5.7,5.5,5.7,6.7,6.2,4.3,4.4
"Other services (except public administration)","Prince Edward Island",3.1,3.2,3.3,3.2,3.1,2.9,3.1,3.2,3.1,3.2
"Public administration","Prince Edward Island",7.8,7.5,6.9,7.4,7.1,7.3,7.2,8.2,8.3,9.1
"Total, all industries 6","Nova Scotia",458.1,455.3,448,444.3,443.2,447.1,451.8,464.6,443.3,468.1
"Goods-producing sector 7","Nova Scotia",90,88.9,84.4,83.8,81.8,82,82.1,87.5,86.4,90.9
"Agriculture 8","Nova Scotia",6.8,6.6,5.4,5.2,4.4,4.8,4.8,6.1,6,6.1
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Nova Scotia",12.6,11.9,11,12,12,10.9,10,10.9,10.9,11
"Forestry and logging and support activities for forestry","Nova Scotia",2.6,2.5,1.9,2.2,2.3,1.5,2.4,2,2,2.2
"Fishing, hunting and trapping","Nova Scotia",5.4,5.8,5,5.7,5.2,6.2,4.6,5.6,5.8,6.2
"Mining, quarrying, and oil and gas extraction 9","Nova Scotia",4.6,3.6,4.1,4.1,4.5,3.2,3,3.3,3,2.7
"Utilities","Nova Scotia",3.9,4,3.5,3.2,3.1,3.8,3.5,3.5,4.1,4.9
"Construction","Nova Scotia",32.5,35,34.9,35.1,33.2,31.7,31,33.7,32.8,35.8
"Manufacturing","Nova Scotia",34.3,31.4,29.6,28.4,29,30.8,32.8,33.4,32.6,33
"Durables","Nova Scotia",15.3,13.3,12.9,14,14.1,14.7,15.3,15.2,14.5,14.4
"Non-durables","Nova Scotia",19,18.1,16.7,14.3,14.9,16.1,17.5,18.2,18.1,18.6
"Services-producing sector 11","Nova Scotia",368.1,366.4,363.6,360.5,361.5,365.1,369.7,377.1,356.9,377.2
"Wholesale and retail trade","Nova Scotia",78.4,79.6,77.9,73.7,74.7,78.5,80.6,82.1,68.7,71.9
"Wholesale trade","Nova Scotia",13.9,13.1,14.3,12.4,13.6,12.5,13.5,14,11.3,12.6
"Retail trade","Nova Scotia",64.5,66.5,63.6,61.4,61.1,66,67.1,68.1,57.4,59.3
"Transportation and warehousing","Nova Scotia",21.1,20,20.3,19.8,19.9,19.4,19.6,19.3,18.7,24.3
"Finance, insurance, real estate, rental and leasing","Nova Scotia",22.3,21.5,21.4,22.9,24,23.6,22.5,21.7,23.5,25.4
"Finance and insurance","Nova Scotia",15.8,14.8,14.9,16,15.8,15.9,14.3,15,16.2,18.2
"Real estate and rental and leasing","Nova Scotia",6.5,6.7,6.5,6.9,8.2,7.6,8.2,6.7,7.3,7.1
"Professional, scientific and technical services","Nova Scotia",23.9,26.4,25.9,27.3,26.6,26.6,25.3,27.1,29.8,32.9
"Business, building and other support services 12","Nova Scotia",19.9,21.6,19.8,20.4,17.2,18.2,17.8,17.2,18.2,18.2
"Educational services","Nova Scotia",35.2,35.4,35.6,36.7,37.3,36.8,37.2,35.6,35.7,36.6
"Health care and social assistance","Nova Scotia",68,67,68.1,70.9,71.8,69.2,67.6,74.6,72.6,78.2
"Information, culture and recreation","Nova Scotia",19.1,17.7,18.6,17.2,16.2,16.4,17.9,18.7,15,13.5
"Accommodation and food services","Nova Scotia",31.4,31.4,31.6,29.2,28.7,29.9,33.9,34.1,28,28.1
"Other services (except public administration)","Nova Scotia",21.4,19.3,18.3,16.4,18.7,17.9,18,15.7,16.4,17.1
"Public administration","Nova Scotia",27.3,26.4,25.9,26,26.3,28.9,29.5,31.1,30.5,31
"Total, all industries 6","New Brunswick",355,357.6,357.6,354.8,357.6,360.1,361.4,363.6,352.4,363.5
"Goods-producing sector 7","New Brunswick",77.1,78.9,77.8,73.4,74.1,73.1,74.2,76.8,73.3,71.3
"Agriculture 8","New Brunswick",4.4,4.5,3.8,3.9,4.9,5.1,5.8,6.1,4.8,5.4
"Forestry, fishing, mining, quarrying, oil and gas 9 10","New Brunswick",12.2,12.3,12.1,11,9.6,8.5,9.3,10.2,10,9.2
"Forestry and logging and support activities for forestry","New Brunswick",4,4,4.2,3.2,3.4,3.5,3.2,3.5,4.5,3.6
