"naics_industry","province","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Business, building and other support services 12","Alberta",71.2,76.9,79.1,76.6,76.3,76.9,82.9,78.9,68,69.3
"Educational services","Alberta",124.4,124.5,125.2,134.8,137.9,140.5,145.9,149.5,143.3,167.7
"Health care and social assistance","Alberta",234.2,236.9,242.2,260.3,263.6,265.5,274,284.7,285.1,306.3
"Information, culture and recreation","Alberta",72,77.8,72.9,73.5,74.2,72.5,78.8,76.1,70.7,64.6
"Accommodation and food services","Alberta",145.9,140.2,142.8,152.5,146.1,146.1,135.8,136.5,110.5,112.3
"Other services (except public administration)","Alberta",105.4,109.2,115.9,115.1,116.8,113.1,110.5,105.4,93.2,94.3
"Public administration","Alberta",96.1,96,91.7,95.6,94.1,98.6,106.3,112.1,103.8,103.2
"Total, all industries 6","British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goods-producing sector 7","British Columbia",459.6,461.4,468.6,482.5,484.6,512,516.3,507.2,484,497.9
"Agriculture 8","British Columbia",23.5,26.8,25.3,25.7,22.6,24.1,24.1,24.4,28.3,21.2
"Forestry, fishing, mining, quarrying, oil and gas 9 10","British Columbia",47.2,49.9,52.8,53.4,51.5,52.4,49.4,46.1,42.1,48.4
"Forestry and logging and support activities for forestry","British Columbia",16.8,19.1,20.3,21.5,18.7,18.7,17.3,16.1,15.6,18.3
"Fishing, hunting and trapping","British Columbia",2.1,1.5,2,1.9,1.7,2.3,3.3,1.8,2.7,1.9
"Mining, quarrying, and oil and gas extraction 9","British Columbia",28.3,29.2,30.4,30,31.1,31.4,28.8,28.3,23.9,28.1
"Utilities","British Columbia",12.5,13.3,14,14.3,12.7,11.5,15,13.8,18.4,17.9
"Construction","British Columbia",202.7,212.6,209,211.9,220,239.8,246.5,250.1,227.4,227.1
"Manufacturing","British Columbia",173.7,158.8,167.7,177.2,177.8,184.2,181.4,172.7,167.8,183.4
"Durables","British Columbia",105.4,95.1,99.6,103.7,106.4,106.9,105.8,107.3,98.8,104.2
"Non-durables","British Columbia",68.3,63.8,68,73.5,71.3,77.4,75.6,65.4,68.9,79.2
"Services-producing sector 11","British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wholesale and retail trade","British Columbia",345.2,375.2,370.8,363.3,383.9,395.5,400.7,420.8,388.8,402
"Wholesale trade","British Columbia",81.1,83.2,83.1,86,94.7,87.6,87.6,93.8,91.2,88.2
"Retail trade","British Columbia",264.1,291.9,287.7,277.2,289.2,307.9,313.1,327,297.6,313.8
"Transportation and warehousing","British Columbia",128.6,127.5,141.2,144,141.3,141.1,144.1,147.1,135,146.1
"Finance, insurance, real estate, rental and leasing","British Columbia",143.4,148.7,150.2,141,150.6,167,166.1,168.3,170.1,168.9
"Finance and insurance","British Columbia",92.5,94.6,97.4,95.1,100.9,108,104.2,104.8,112,114
"Real estate and rental and leasing","British Columbia",50.9,54.1,52.8,45.9,49.7,59,61.8,63.5,58.1,54.9
"Professional, scientific and technical services","British Columbia",176.7,183.3,185.3,196.1,202.3,205.8,218.5,238.5,240,261.4
"Business, building and other support services 12","British Columbia",98.6,94.2,87.2,92.1,99.8,104.1,103.3,115.3,96.9,98.6
"Educational services","British Columbia",167.4,165.4,167.3,170.3,172.3,172.4,168.7,177.1,173.2,185.7
"Health care and social assistance","British Columbia",264.1,261.4,268.5,286.2,297.8,310,327.7,328.1,321.5,351.7
"Information, culture and recreation","British Columbia",111.7,110.8,114.3,122.7,130.1,137.2,129.9,132.2,106.4,127.6
"Accommodation and food services","British Columbia",187.4,183.6,186.1,176.8,185.1,195.1,200.5,202.1,173.4,177.4
"Other services (except public administration)","British Columbia",110.3,104,101.4,106.9,108.2,114.6,121.7,119.2,99,108.9
"Public administration","British Columbia",102.7,106.6,108.5,107.2,111.9,105.4,109,121.7,121,137.6
