Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Newfoundland and Labrador,Petroleum and coal product manufacturing  [BS32400],984,935,901,1068,1158,948,920,1040,213,48
Newfoundland and Labrador,Basic chemical manufacturing  [BS32510],0,1,0,0,0,5,1,2,3,2
Newfoundland and Labrador,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Miscellaneous chemical product manufacturing  [BS325C0] 13,1,1,1,1,5,4,3,11,7,6
Newfoundland and Labrador,Plastic product manufacturing  [BS32610],1,1,7,10,1,0,0,0,0,0
Newfoundland and Labrador,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],1,1,1,1,1,1,0,0,0,0
Newfoundland and Labrador,Cement and concrete product manufacturing  [BS32730],8,7,3,4,14,11,27,32,62,60
Newfoundland and Labrador,Primary metal manufacturing  [BS33100],0,1,1,89,38,54,45,40,17,15
Newfoundland and Labrador,Fabricated metal product manufacturing  [BS33200],7,8,6,7,6,3,3,3,3,2
Newfoundland and Labrador,Machinery manufacturing  [BS33300],2,2,2,8,1,2,2,2,2,2
Newfoundland and Labrador,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,1,0,0
Newfoundland and Labrador,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Motor vehicle manufacturing  [BS33610],1,2,2,1,0,1,1,1,1,1
Newfoundland and Labrador,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Aerospace product and parts manufacturing  [BS33640],0,0,0,1,0,0,0,0,0,0
Newfoundland and Labrador,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Ship and boat building  [BS33660],0,2,4,4,1,1,4,0,0,0
Newfoundland and Labrador,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Furniture and related product manufacturing  [BS33700],1,2,1,1,2,1,1,1,1,1
Newfoundland and Labrador,Miscellaneous manufacturing  [BS33900],2,3,2,2,1,1,2,1,1,1
Newfoundland and Labrador,"Total, households",2364,2253,2522,2409,2449,2728,2547,2461,2195,2104
Newfoundland and Labrador,Households: Motor fuels and lubricants,1742,1711,1926,1897,1809,1900,1671,1628,1422,1439
Newfoundland and Labrador,Households: Electricity and other fuels,622,542,596,512,640,829,876,832,773,665
Prince Edward Island,"Total, industries and households",1909,1597,1573,1513,1615,1667,1658,1692,1648,1661
Prince Edward Island,"Total, industries",923,744,787,794,830,816,837,853,899,913
Prince Edward Island,Animal food manufacturing  [BS31110],0,0,0,0,0,1,0,0,0,0
Prince Edward Island,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],164,108,77,52,55,60,36,53,115,108
Prince Edward Island,Dairy product manufacturing  [BS31150],26,2,1,4,4,2,6,7,8,1
Prince Edward Island,Meat product manufacturing  [BS31160],2,1,2,4,2,2,1,1,1,1
Prince Edward Island,Seafood product preparation and packaging  [BS31170],7,3,6,10,15,7,8,8,7,7
Prince Edward Island,Miscellaneous food manufacturing  [BS311A0],1,0,0,1,0,0,1,0,0,0
Prince Edward Island,Soft drink and ice manufacturing  [BS31211],1,0,0,0,0,0,0,0,0,0
Prince Edward Island,Breweries  [BS31212],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Textile and textile product mills  [BS31A00],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Clothing and leather and allied product manufacturing  [BS31B00],0,0,0,0,0,0,0,1,0,1
Prince Edward Island,Wood product manufacturing  [BS32100] 12,1,1,34,2,2,1,2,1,1,1
Prince Edward Island,"Pulp, paper and paperboard mills  [BS32210] 12",0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Converted paper product manufacturing  [BS32220],1,1,1,6,5,5,6,1,1,1
Prince Edward Island,Printing and related support activities  [BS32300],0,0,0,0,0,1,0,0,0,0
Prince Edward Island,Petroleum and coal product manufacturing  [BS32400],1,1,1,1,1,1,1,2,2,2
Prince Edward Island,Basic chemical manufacturing  [BS32510],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",1,1,1,2,1,3,4,5,5,5
Prince Edward Island,Pharmaceutical and medicine manufacturing  [BS32540],1,1,10,3,3,2,2,2,1,1
Prince Edward Island,Miscellaneous chemical product manufacturing  [BS325C0] 13,0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Plastic product manufacturing  [BS32610],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0,0,0,0,0,0,1,1,1,1
Prince Edward Island,Cement and concrete product manufacturing  [BS32730],4,2,0,1,5,3,3,4,4,4
Prince Edward Island,Primary metal manufacturing  [BS33100],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Fabricated metal product manufacturing  [BS33200],2,1,1,2,3,5,2,5,1,8
Prince Edward Island,Machinery manufacturing  [BS33300],1,0,1,1,2,1,1,1,1,1
Prince Edward Island,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Motor vehicle manufacturing  [BS33610],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,1,1,0,0
Prince Edward Island,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Aerospace product and parts manufacturing  [BS33640],1,1,0,0,0,0,0,0,0,0
Prince Edward Island,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Prince Edward Island,Furniture and related product manufacturing  [BS33700],0,0,0,0,0,0,0,1,0,0
Prince Edward Island,Miscellaneous manufacturing  [BS33900],1,1,0,0,0,0,0,0,0,0
Prince Edward Island,"Total, households",987,854,787,720,785,851,821,839,749,749
Prince Edward Island,Households: Motor fuels and lubricants,524,456,451,454,479,500,470,475,413,438
Prince Edward Island,Households: Electricity and other fuels,462,397,335,266,306,351,351,364,336,310
Nova Scotia,"Total, industries and households",20453,19116,17802,17777,16575,17095,17582,16762,14381,14203
Nova Scotia,"Total, industries",15328,14334,13357,12802,11928,12323,12665,11984,10267,10130
Nova Scotia,Animal food manufacturing  [BS31110],7,8,8,5,3,5,7,9,4,4
Nova Scotia,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],11,15,23,6,5,4,4,5,6,8
Nova Scotia,Dairy product manufacturing  [BS31150],15,12,4,5,5,6,9,10,7,8
Nova Scotia,Meat product manufacturing  [BS31160],8,33,38,12,14,16,37,31,6,9
Nova Scotia,Seafood product preparation and packaging  [BS31170],39,80,85,50,44,38,42,47,30,34
Nova Scotia,Miscellaneous food manufacturing  [BS311A0],10,15,15,21,18,15,19,19,15,16
Nova Scotia,Soft drink and ice manufacturing  [BS31211],4,1,2,3,2,1,3,2,1,1
Nova Scotia,Breweries  [BS31212],4,3,2,4,5,6,8,11,7,9
Nova Scotia,Wineries and distilleries  [BS3121A],1,1,1,1,1,1,2,2,2,2
Nova Scotia,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Textile and textile product mills  [BS31A00],5,17,21,8,6,10,4,3,1,1
Nova Scotia,Clothing and leather and allied product manufacturing  [BS31B00],3,13,1,1,1,2,3,3,1,1
Nova Scotia,Wood product manufacturing  [BS32100] 12,142,128,167,161,176,187,146,144,128,142
Nova Scotia,"Pulp, paper and paperboard mills  [BS32210] 12",1125,714,1094,935,927,929,918,819,1,1
Nova Scotia,Converted paper product manufacturing  [BS32220],13,13,13,19,17,18,15,14,15,16
Nova Scotia,Printing and related support activities  [BS32300],4,1,3,3,4,5,2,2,1,1
Nova Scotia,Petroleum and coal product manufacturing  [BS32400],971,836,31,9,8,7,11,7,6,6
Nova Scotia,Basic chemical manufacturing  [BS32510],14,17,22,1,4,3,3,7,28,32
Nova Scotia,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",1,4,2,1,3,4,5,4,5,5
Nova Scotia,Pharmaceutical and medicine manufacturing  [BS32540],2,2,7,4,2,5,2,3,4,5
Nova Scotia,Miscellaneous chemical product manufacturing  [BS325C0] 13,5,3,2,2,1,1,2,2,2,1
Nova Scotia,Plastic product manufacturing  [BS32610],6,9,6,6,24,24,41,28,13,16
Nova Scotia,Rubber product manufacturing  [BS32620],99,32,48,55,40,44,80,71,32,39
Nova Scotia,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],11,5,7,12,6,9,11,8,7,8
Nova Scotia,Cement and concrete product manufacturing  [BS32730],326,281,286,291,295,235,233,188,190,244
Nova Scotia,Primary metal manufacturing  [BS33100],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Fabricated metal product manufacturing  [BS33200],15,16,13,14,13,13,31,36,13,16
Nova Scotia,Machinery manufacturing  [BS33300],4,5,2,3,3,2,3,4,3,3
Nova Scotia,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Electronic product manufacturing  [BS334B0],2,4,2,1,1,1,1,2,1,1
Nova Scotia,Electrical  equipment and component manufacturing  [BS335A0],1,1,1,0,1,1,5,7,1,2
Nova Scotia,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Motor vehicle manufacturing  [BS33610],1,1,1,1,1,0,0,0,1,1
Nova Scotia,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,1,0,0,0
Nova Scotia,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Aerospace product and parts manufacturing  [BS33640],8,8,4,5,10,11,6,7,14,17
Nova Scotia,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Nova Scotia,Ship and boat building  [BS33660],5,2,3,5,4,6,8,9,9,11
