Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ontario,Dairy product manufacturing  [BS31150],152,162,124,168,121,155,186,209,209,217
Ontario,Meat product manufacturing  [BS31160],328,280,322,311,358,351,354,395,393,405
Ontario,Seafood product preparation and packaging  [BS31170],7,3,3,4,5,7,7,6,5,5
Ontario,Miscellaneous food manufacturing  [BS311A0],760,869,764,943,738,823,871,901,830,828
Ontario,Soft drink and ice manufacturing  [BS31211],63,68,50,58,66,81,63,50,51,55
Ontario,Breweries  [BS31212],72,117,180,198,200,284,168,162,160,160
Ontario,Wineries and distilleries  [BS3121A],158,153,173,143,117,129,149,82,85,87
Ontario,Tobacco manufacturing  [BS31220],5,7,6,11,17,17,12,12,12,12
Ontario,Textile and textile product mills  [BS31A00],67,85,63,85,65,70,83,72,72,75
Ontario,Clothing and leather and allied product manufacturing  [BS31B00],15,13,14,16,24,11,19,21,17,17
Ontario,Wood product manufacturing  [BS32100] 12,1617,1675,2871,1835,941,1934,1777,1682,1594,1533
Ontario,"Pulp, paper and paperboard mills  [BS32210] 12",3790,6068,5425,5658,5073,5212,4873,4551,4500,4562
Ontario,Converted paper product manufacturing  [BS32220],193,277,341,169,219,269,284,282,261,338
Ontario,Printing and related support activities  [BS32300],119,112,105,150,171,163,180,150,126,131
Ontario,Petroleum and coal product manufacturing  [BS32400],8421,7654,7744,7368,7399,5005,5603,6287,5600,6197
Ontario,Basic chemical manufacturing  [BS32510],4824,4680,4316,5025,4825,3625,4112,4236,4321,4326
Ontario,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",768,1120,1140,950,1179,1112,387,399,387,389
Ontario,Pharmaceutical and medicine manufacturing  [BS32540],151,121,176,163,326,176,166,177,184,185
Ontario,Miscellaneous chemical product manufacturing  [BS325C0] 13,661,575,543,661,591,666,705,664,605,712
Ontario,Plastic product manufacturing  [BS32610],309,342,378,361,338,425,310,333,321,333
Ontario,Rubber product manufacturing  [BS32620],66,64,78,83,76,79,70,69,57,59
Ontario,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],1670,1344,1233,1381,1261,1348,1189,1225,1166,1216
Ontario,Cement and concrete product manufacturing  [BS32730],4852,4492,4685,4246,4249,4621,4457,4504,4559,4694
Ontario,Primary metal manufacturing  [BS33100],15576,13461,14548,13823,14874,14128,14730,13989,11993,13326
Ontario,Fabricated metal product manufacturing  [BS33200],762,884,700,640,774,816,855,722,734,762
Ontario,Machinery manufacturing  [BS33300],291,316,308,277,257,331,324,342,304,315
Ontario,Computer and peripheral equipment manufacturing  [BS33410],9,5,11,7,3,4,5,6,6,6
Ontario,Electronic product manufacturing  [BS334B0],61,69,49,66,82,61,57,64,56,59
Ontario,Electrical  equipment and component manufacturing  [BS335A0],75,75,71,74,74,71,65,62,56,58
Ontario,Household appliance manufacturing  [BS33520],17,11,10,11,12,12,12,10,15,16
Ontario,Motor vehicle manufacturing  [BS33610],556,570,582,557,521,585,657,671,496,439
Ontario,Motor vehicle body and trailer manufacturing  [BS33620],33,48,33,31,17,15,22,24,20,21
Ontario,Motor vehicle parts manufacturing  [BS33630],317,306,309,339,364,379,345,318,269,278
Ontario,Aerospace product and parts manufacturing  [BS33640],67,72,61,78,77,90,90,101,85,88
Ontario,Railroad rolling stock manufacturing  [BS33650],13,7,8,19,22,14,15,15,14,15
Ontario,Ship and boat building  [BS33660],5,5,5,4,4,5,4,4,3,4
Ontario,Other transportation equipment manufacturing  [BS33690],9,11,12,12,13,20,16,20,17,17
Ontario,Furniture and related product manufacturing  [BS33700],195,157,128,154,173,178,174,167,144,149
Ontario,Miscellaneous manufacturing  [BS33900],102,100,98,130,131,134,132,144,144,150
Ontario,"Total, households",46966,51606,50538,50362,49226,50469,52531,51797,41511,41059
Ontario,Households: Motor fuels and lubricants,27207,29145,27958,27807,28567,29271,30157,31298,22808,23132
Ontario,Households: Electricity and other fuels,19759,22461,22580,22556,20659,21198,22374,20498,18703,17927
Manitoba,"Total, industries and households",20427,20935,21088,20650,21044,21505,22365,22232,20674,20226
Manitoba,"Total, industries",16202,16447,16582,16571,16839,17276,17666,17498,16525,16050
Manitoba,Animal food manufacturing  [BS31110],22,9,47,20,33,29,35,53,30,67
Manitoba,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Manitoba,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],95,68,58,116,96,144,39,40,36,36
Manitoba,Dairy product manufacturing  [BS31150],11,18,6,14,16,9,23,24,25,22
Manitoba,Meat product manufacturing  [BS31160],69,46,61,122,170,223,106,93,121,123
Manitoba,Seafood product preparation and packaging  [BS31170],2,3,1,1,1,2,0,0,0,0
Manitoba,Miscellaneous food manufacturing  [BS311A0],116,110,137,111,126,104,179,144,192,139
Manitoba,Soft drink and ice manufacturing  [BS31211],21,8,8,10,14,12,8,5,3,3
Manitoba,Breweries  [BS31212],1,0,0,0,0,1,1,1,2,2
Manitoba,Wineries and distilleries  [BS3121A],12,0,0,0,0,0,0,0,0,0
Manitoba,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Manitoba,Textile and textile product mills  [BS31A00],3,3,2,2,2,4,4,4,3,3
Manitoba,Clothing and leather and allied product manufacturing  [BS31B00],6,5,4,7,8,14,5,6,3,3
Manitoba,Wood product manufacturing  [BS32100] 12,184,174,293,205,261,150,181,177,188,228
Manitoba,"Pulp, paper and paperboard mills  [BS32210] 12",489,523,626,486,510,483,506,560,487,505
Manitoba,Converted paper product manufacturing  [BS32220],9,14,21,16,17,17,17,16,16,16
Manitoba,Printing and related support activities  [BS32300],15,11,20,20,16,29,18,21,18,18
Manitoba,Petroleum and coal product manufacturing  [BS32400],4,6,3,2,4,6,36,32,31,28
Manitoba,Basic chemical manufacturing  [BS32510],102,118,98,97,98,103,102,106,106,108
Manitoba,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",656,797,646,748,834,694,682,674,654,638
Manitoba,Pharmaceutical and medicine manufacturing  [BS32540],23,14,14,14,13,15,17,15,14,13
Manitoba,Miscellaneous chemical product manufacturing  [BS325C0] 13,6,10,8,5,7,7,7,8,7,5
Manitoba,Plastic product manufacturing  [BS32610],54,46,25,53,60,44,31,36,30,30
Manitoba,Rubber product manufacturing  [BS32620],2,1,1,1,1,2,2,2,2,2
Manitoba,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],148,133,129,149,114,127,110,108,109,110
Manitoba,Cement and concrete product manufacturing  [BS32730],22,22,12,13,28,37,40,51,50,36
Manitoba,Primary metal manufacturing  [BS33100],103,102,103,83,79,90,85,66,91,95
Manitoba,Fabricated metal product manufacturing  [BS33200],53,35,35,53,56,71,55,63,56,54
Manitoba,Machinery manufacturing  [BS33300],78,64,74,84,85,111,73,81,65,63
Manitoba,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Manitoba,Electronic product manufacturing  [BS334B0],1,1,1,2,3,2,1,1,1,1
Manitoba,Electrical  equipment and component manufacturing  [BS335A0],5,4,5,9,3,6,5,6,5,5
Manitoba,Household appliance manufacturing  [BS33520],2,0,0,0,0,0,0,0,0,0
Manitoba,Motor vehicle manufacturing  [BS33610],15,22,22,37,50,38,23,25,16,15
Manitoba,Motor vehicle body and trailer manufacturing  [BS33620],21,13,7,11,15,21,6,5,3,3
Manitoba,Motor vehicle parts manufacturing  [BS33630],3,2,3,3,2,3,2,2,2,2
Manitoba,Aerospace product and parts manufacturing  [BS33640],17,14,21,26,28,47,23,33,20,20
Manitoba,Railroad rolling stock manufacturing  [BS33650],1,0,0,0,0,0,0,0,0,0
Manitoba,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
Manitoba,Other transportation equipment manufacturing  [BS33690],1,1,1,2,1,1,1,1,1,1
Manitoba,Furniture and related product manufacturing  [BS33700],65,56,23,76,82,53,32,26,20,19
Manitoba,Miscellaneous manufacturing  [BS33900],18,13,11,16,16,23,19,19,20,19
Manitoba,"Total, households",4225,4488,4506,4079,4205,4228,4699,4733,4149,4176
Manitoba,Households: Motor fuels and lubricants,3034,3089,3101,2890,2963,2896,3225,3246,2746,2861
Manitoba,Households: Electricity and other fuels,1191,1400,1405,1189,1242,1332,1474,1488,1404,1315
Saskatchewan,"Total, industries and households",72646,74912,76792,78797,73907,77437,78743,75606,66252,69101
Saskatchewan,"Total, industries",66633,68396,70661,72702,67816,71088,72229,68986,60513,63318
Saskatchewan,Animal food manufacturing  [BS31110],8,9,28,35,17,18,32,33,31,27
Saskatchewan,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],1,1,2,3,2,1,1,1,1,1
Saskatchewan,Dairy product manufacturing  [BS31150],10,5,1,1,1,1,1,0,0,1
Saskatchewan,Meat product manufacturing  [BS31160],48,36,29,37,46,61,51,60,43,52
Saskatchewan,Seafood product preparation and packaging  [BS31170],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Miscellaneous food manufacturing  [BS311A0],153,180,239,199,253,253,235,252,206,197
Saskatchewan,Soft drink and ice manufacturing  [BS31211],1,1,1,2,3,3,5,3,3,3
Saskatchewan,Breweries  [BS31212],3,1,1,2,2,2,6,7,5,5
Saskatchewan,Wineries and distilleries  [BS3121A],0,0,0,1,1,1,1,2,2,3
Saskatchewan,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Textile and textile product mills  [BS31A00],2,2,3,2,1,3,2,3,2,2
Saskatchewan,Clothing and leather and allied product manufacturing  [BS31B00],1,1,1,1,1,1,1,0,0,0
Saskatchewan,Wood product manufacturing  [BS32100] 12,196,951,492,396,392,619,335,311,367,312
Saskatchewan,"Pulp, paper and paperboard mills  [BS32210] 12",651,126,122,57,68,74,75,70,67,76
Saskatchewan,Converted paper product manufacturing  [BS32220],5,8,5,5,6,5,5,5,5,4
Saskatchewan,Printing and related support activities  [BS32300],7,7,9,8,8,10,6,6,4,5
Saskatchewan,Petroleum and coal product manufacturing  [BS32400],1264,1251,882,848,928,940,1365,1821,1710,1817
Saskatchewan,Basic chemical manufacturing  [BS32510],234,242,291,294,296,307,218,224,223,253
Saskatchewan,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",213,261,272,321,278,259,732,697,666,648
Saskatchewan,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Miscellaneous chemical product manufacturing  [BS325C0] 13,10,21,10,22,21,24,44,37,34,31
Saskatchewan,Plastic product manufacturing  [BS32610],6,7,7,8,5,6,7,6,4,4
Saskatchewan,Rubber product manufacturing  [BS32620],2,3,5,5,4,4,5,8,5,6
Saskatchewan,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],11,13,11,21,12,13,12,14,8,12
Saskatchewan,Cement and concrete product manufacturing  [BS32730],33,42,171,47,76,119,80,103,107,108
Saskatchewan,Primary metal manufacturing  [BS33100],149,164,144,137,135,144,158,156,136,155
Saskatchewan,Fabricated metal product manufacturing  [BS33200],45,69,59,83,55,67,75,83,65,76
Saskatchewan,Machinery manufacturing  [BS33300],48,62,57,63,43,53,65,65,46,59
Saskatchewan,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Electronic product manufacturing  [BS334B0],2,2,1,1,1,1,1,1,1,1
Saskatchewan,Electrical  equipment and component manufacturing  [BS335A0],6,3,6,4,3,4,4,5,3,5
Saskatchewan,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Motor vehicle manufacturing  [BS33610],7,8,7,6,4,4,4,4,5,7
Saskatchewan,Motor vehicle body and trailer manufacturing  [BS33620],10,13,8,7,6,9,11,10,5,7
Saskatchewan,Motor vehicle parts manufacturing  [BS33630],2,2,2,2,1,2,1,1,1,1
Saskatchewan,Aerospace product and parts manufacturing  [BS33640],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
Saskatchewan,Other transportation equipment manufacturing  [BS33690],1,1,1,1,1,1,0,1,1,1
Saskatchewan,Furniture and related product manufacturing  [BS33700],7,10,9,20,9,7,7,8,6,7
Saskatchewan,Miscellaneous manufacturing  [BS33900],12,12,9,14,11,14,15,13,11,14
Saskatchewan,"Total, households",6013,6516,6131,6095,6091,6349,6514,6620,5739,5783
Saskatchewan,Households: Motor fuels and lubricants,4188,4553,4170,4300,4315,4402,4357,4368,3706,3774
Saskatchewan,Households: Electricity and other fuels,1825,1962,1961,1795,1776,1946,2157,2251,2033,2009
Alberta,"Total, industries and households",276762,285303,290011,287853,270302,278551,282438,282957,261640,265270
Alberta,"Total, industries",258124,265387,269970,269099,251288,258619,261764,262314,243757,247818
Alberta,Animal food manufacturing  [BS31110],41,48,95,47,40,33,40,85,101,99
Alberta,Sugar and confectionery product manufacturing  [BS31130],83,108,127,85,104,199,12,76,50,81
Alberta,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],35,30,16,16,8,17,26,16,27,25
Alberta,Dairy product manufacturing  [BS31150],29,28,27,21,22,20,34,38,38,36
Alberta,Meat product manufacturing  [BS31160],344,197,200,205,270,191,216,197,192,180
Alberta,Seafood product preparation and packaging  [BS31170],1,1,1,0,0,1,1,1,0,0
Alberta,Miscellaneous food manufacturing  [BS311A0],185,289,360,374,336,363,366,463,394,395
Alberta,Soft drink and ice manufacturing  [BS31211],33,35,58,52,53,45,45,32,24,25
Alberta,Breweries  [BS31212],90,54,50,76,101,63,67,73,78,73
Alberta,Wineries and distilleries  [BS3121A],36,57,41,53,78,45,61,42,35,16
Alberta,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Alberta,Textile and textile product mills  [BS31A00],5,5,5,6,3,5,5,5,4,4
Alberta,Clothing and leather and allied product manufacturing  [BS31B00],4,4,4,4,4,4,5,6,5,5
Alberta,Wood product manufacturing  [BS32100] 12,1172,1689,1797,1024,1248,2402,2030,2066,2266,2948
Alberta,"Pulp, paper and paperboard mills  [BS32210] 12",6819,7834,7848,6818,4483,4151,6583,6491,6299,6148
Alberta,Converted paper product manufacturing  [BS32220],9,20,22,23,19,24,21,20,19,18
Alberta,Printing and related support activities  [BS32300],34,87,39,37,33,38,41,28,23,22
Alberta,Petroleum and coal product manufacturing  [BS32400],6620,7195,7055,6615,6917,7603,7292,7762,6217,6984
Alberta,Basic chemical manufacturing  [BS32510],7312,6537,5333,5406,5606,5946,6793,6727,6560,6714
Alberta,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",4444,4513,4210,4633,4609,4068,4009,4283,4273,4325
Alberta,Pharmaceutical and medicine manufacturing  [BS32540],2,4,4,6,5,5,6,7,8,8
Alberta,Miscellaneous chemical product manufacturing  [BS325C0] 13,1329,1474,2342,2168,1987,1257,711,155,573,532
Alberta,Plastic product manufacturing  [BS32610],46,82,83,69,119,64,67,83,76,74
Alberta,Rubber product manufacturing  [BS32620],12,17,13,21,19,30,11,14,12,12
Alberta,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],220,251,337,338,323,229,221,219,222,220
Alberta,Cement and concrete product manufacturing  [BS32730],1670,1597,1540,1539,1567,1683,2037,2024,1625,2102
Alberta,Primary metal manufacturing  [BS33100],420,429,368,433,93,87,139,119,105,89
Alberta,Fabricated metal product manufacturing  [BS33200],339,465,396,387,371,254,253,270,261,257
Alberta,Machinery manufacturing  [BS33300],263,296,305,285,219,204,258,243,191,183
Alberta,Computer and peripheral equipment manufacturing  [BS33410],1,1,1,1,2,1,2,1,1,1
Alberta,Electronic product manufacturing  [BS334B0],12,12,14,11,19,14,14,15,15,14
Alberta,Electrical  equipment and component manufacturing  [BS335A0],20,17,16,14,14,13,17,14,10,9
Alberta,Household appliance manufacturing  [BS33520],1,1,1,2,0,1,1,1,1,0
Alberta,Motor vehicle manufacturing  [BS33610],20,18,18,12,8,17,38,17,14,11
Alberta,Motor vehicle body and trailer manufacturing  [BS33620],13,22,20,14,12,15,13,14,10,9
Alberta,Motor vehicle parts manufacturing  [BS33630],7,8,6,7,4,5,9,5,4,3
Alberta,Aerospace product and parts manufacturing  [BS33640],3,6,7,4,5,4,4,4,4,3
Alberta,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Alberta,Ship and boat building  [BS33660],1,1,1,1,1,1,2,1,1,1
Alberta,Other transportation equipment manufacturing  [BS33690],3,3,3,2,2,4,6,2,2,2
Alberta,Furniture and related product manufacturing  [BS33700],39,42,46,44,42,33,39,33,29,29
Alberta,Miscellaneous manufacturing  [BS33900],45,63,53,53,44,39,53,44,33,31
Alberta,"Total, households",18638,19916,20041,18754,19014,19932,20673,20643,17883,17452
Alberta,Households: Motor fuels and lubricants,9948,11184,11411,10480,10337,10835,11280,11484,8931,8987
Alberta,Households: Electricity and other fuels,8689,8732,8630,8274,8678,9097,9393,9159,8952,8465
British Columbia,"Total, industries and households",78678,79717,80416,81233,81333,82643,83426,81491,72540,75003
British Columbia,"Total, industries",65827,66406,67350,67998,67409,67915,68789,66869,59295,61410
British Columbia,Animal food manufacturing  [BS31110],23,26,28,22,27,26,65,68,74,38
British Columbia,Sugar and confectionery product manufacturing  [BS31130],60,48,64,61,51,56,37,20,57,57
British Columbia,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],19,16,15,23,18,24,13,14,18,17
British Columbia,Dairy product manufacturing  [BS31150],25,16,13,14,42,28,25,26,28,26
British Columbia,Meat product manufacturing  [BS31160],66,90,103,115,79,96,69,99,140,136
British Columbia,Seafood product preparation and packaging  [BS31170],7,5,11,15,13,22,13,11,8,9
British Columbia,Miscellaneous food manufacturing  [BS311A0],66,92,112,91,90,72,88,91,106,108
British Columbia,Soft drink and ice manufacturing  [BS31211],19,18,19,27,30,27,29,23,16,18
British Columbia,Breweries  [BS31212],44,51,66,64,36,38,40,37,60,54
British Columbia,Wineries and distilleries  [BS3121A],7,10,25,18,18,19,18,17,22,22
British Columbia,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,1,1,1
British Columbia,Textile and textile product mills  [BS31A00],5,6,3,6,6,6,7,11,9,9
British Columbia,Clothing and leather and allied product manufacturing  [BS31B00],3,4,4,5,8,5,4,5,6,6
British Columbia,Wood product manufacturing  [BS32100] 12,3436,3981,3511,3395,3115,3278,3451,3162,2743,2730
British Columbia,"Pulp, paper and paperboard mills  [BS32210] 12",16964,16137,18009,18354,17120,16564,16537,16723,14596,15834
British Columbia,Converted paper product manufacturing  [BS32220],13,47,26,37,28,31,11,18,17,18
British Columbia,Printing and related support activities  [BS32300],18,18,29,19,33,34,26,27,17,16
British Columbia,Petroleum and coal product manufacturing  [BS32400],625,558,591,600,676,797,474,550,452,533
British Columbia,Basic chemical manufacturing  [BS32510],56,47,38,37,57,81,80,121,153,166
British Columbia,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",15,9,10,9,18,22,15,8,10,12
British Columbia,Pharmaceutical and medicine manufacturing  [BS32540],3,3,6,19,16,3,4,5,5,4
British Columbia,Miscellaneous chemical product manufacturing  [BS325C0] 13,24,29,25,28,45,41,36,41,39,38
British Columbia,Plastic product manufacturing  [BS32610],31,56,47,53,66,63,55,61,46,44
British Columbia,Rubber product manufacturing  [BS32620],10,14,19,17,21,12,10,11,11,10
British Columbia,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],276,247,265,295,185,188,167,158,159,165
British Columbia,Cement and concrete product manufacturing  [BS32730],1502,1475,1777,1963,2167,2261,2376,1751,1305,1324
British Columbia,Primary metal manufacturing  [BS33100],824,800,732,652,1165,1189,1147,1144,1040,905
British Columbia,Fabricated metal product manufacturing  [BS33200],82,102,105,141,148,119,122,154,138,140
British Columbia,Machinery manufacturing  [BS33300],58,66,47,56,67,61,49,53,43,41
British Columbia,Computer and peripheral equipment manufacturing  [BS33410],2,2,2,2,3,1,0,1,0,0
British Columbia,Electronic product manufacturing  [BS334B0],6,10,7,21,21,6,6,7,6,6
British Columbia,Electrical  equipment and component manufacturing  [BS335A0],13,16,13,16,21,14,18,21,17,16
British Columbia,Household appliance manufacturing  [BS33520],1,1,1,1,1,1,0,1,1,1
British Columbia,Motor vehicle manufacturing  [BS33610],12,14,14,11,11,8,3,8,8,7
British Columbia,Motor vehicle body and trailer manufacturing  [BS33620],6,8,9,13,15,11,11,7,6,5
British Columbia,Motor vehicle parts manufacturing  [BS33630],12,17,11,13,14,11,33,35,19,17
British Columbia,Aerospace product and parts manufacturing  [BS33640],5,9,9,5,7,9,5,5,3,3
British Columbia,Railroad rolling stock manufacturing  [BS33650],0,2,0,1,1,0,1,1,1,0
British Columbia,Ship and boat building  [BS33660],5,7,7,9,8,15,9,9,9,8
British Columbia,Other transportation equipment manufacturing  [BS33690],2,3,3,3,3,2,1,2,2,2
British Columbia,Furniture and related product manufacturing  [BS33700],22,36,34,36,50,35,36,38,31,30
British Columbia,Miscellaneous manufacturing  [BS33900],24,33,24,33,49,31,33,29,28,27
British Columbia,"Total, households",12851,13311,13066,13236,13924,14728,14637,14622,13245,13592
British Columbia,Households: Motor fuels and lubricants,8084,8641,8632,8997,9472,9684,9869,9670,8234,8462
British Columbia,Households: Electricity and other fuels,4767,4670,4434,4238,4452,5045,4768,4952,5011,5130
Yukon,"Total, industries and households",709,632,488,520,521,551,618,659,567,620
Yukon,"Total, industries",560,484,361,391,393,412,471,499,427,494
Yukon,Animal food manufacturing  [BS31110],0,0,0,0,0,0,0,0,0,0
Yukon,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Yukon,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0,0,0,0,0,0,0,0,0,0
Yukon,Dairy product manufacturing  [BS31150],0,0,0,0,0,0,0,0,0,0
Yukon,Meat product manufacturing  [BS31160],0,0,0,0,0,0,0,0,0,0
Yukon,Seafood product preparation and packaging  [BS31170],0,0,0,0,0,0,0,0,0,0
Yukon,Miscellaneous food manufacturing  [BS311A0],1,1,0,0,0,0,0,0,0,0
Yukon,Soft drink and ice manufacturing  [BS31211],0,0,0,0,0,0,0,0,0,0
Yukon,Breweries  [BS31212],0,0,0,0,0,0,0,0,0,0
Yukon,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0,0,0
Yukon,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Yukon,Textile and textile product mills  [BS31A00],0,0,0,0,0,0,0,0,0,0
Yukon,Clothing and leather and allied product manufacturing  [BS31B00],0,0,0,0,0,0,0,0,0,0
Yukon,Wood product manufacturing  [BS32100] 12,1,0,0,0,0,0,0,0,0,0
Yukon,"Pulp, paper and paperboard mills  [BS32210] 12",0,0,0,0,0,0,0,0,0,0
Yukon,Converted paper product manufacturing  [BS32220],0,0,0,0,0,0,0,0,0,0
Yukon,Printing and related support activities  [BS32300],0,0,0,0,0,0,0,0,0,0
Yukon,Petroleum and coal product manufacturing  [BS32400],0,0,0,0,0,0,0,0,0,0
Yukon,Basic chemical manufacturing  [BS32510],0,0,0,0,0,0,0,1,5,5
Yukon,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0,0,0,0,0,0,0,0,0,0
Yukon,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
Yukon,Miscellaneous chemical product manufacturing  [BS325C0] 13,0,0,0,1,1,1,1,1,1,1
Yukon,Plastic product manufacturing  [BS32610],0,0,0,0,0,0,0,0,0,0
Yukon,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0,0,0
Yukon,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0,0,0,0,0,0,0,0,0,0
Yukon,Cement and concrete product manufacturing  [BS32730],1,0,0,0,0,0,0,0,0,0
Yukon,Primary metal manufacturing  [BS33100],0,0,0,0,0,0,0,0,0,0
Yukon,Fabricated metal product manufacturing  [BS33200],1,0,0,0,0,0,0,0,0,0
Yukon,Machinery manufacturing  [BS33300],0,0,0,0,0,0,0,0,0,0
Yukon,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Yukon,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,0,0,0
Yukon,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0,0,0
Yukon,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Yukon,Motor vehicle manufacturing  [BS33610],0,0,0,0,0,0,0,0,0,0
Yukon,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,0,0,0,0
Yukon,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Yukon,Aerospace product and parts manufacturing  [BS33640],0,0,0,0,0,0,0,0,0,0
Yukon,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Yukon,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0,0,0
Yukon,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Yukon,Furniture and related product manufacturing  [BS33700],0,0,0,0,0,0,0,0,0,0
Yukon,Miscellaneous manufacturing  [BS33900],0,0,0,0,0,0,0,0,0,0
Yukon,"Total, households",149,148,127,130,129,139,147,160,140,125
Yukon,Households: Motor fuels and lubricants,112,107,108,116,116,127,141,153,126,113
Yukon,Households: Electricity and other fuels,37,41,19,13,13,12,6,7,14,12
Northwest Territories,"Total, industries and households",2054,2020,2075,2083,1791,1992,1971,1919,1544,1675
Northwest Territories,"Total, industries",1896,1868,1897,1904,1638,1859,1830,1772,1416,1550
Northwest Territories,Animal food manufacturing  [BS31110],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Dairy product manufacturing  [BS31150],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Meat product manufacturing  [BS31160],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Seafood product preparation and packaging  [BS31170],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Miscellaneous food manufacturing  [BS311A0],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Soft drink and ice manufacturing  [BS31211],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Breweries  [BS31212],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Textile and textile product mills  [BS31A00],1,1,0,1,0,0,0,0,0,0
Northwest Territories,Clothing and leather and allied product manufacturing  [BS31B00],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Wood product manufacturing  [BS32100] 12,1,1,1,1,1,2,0,1,1,1
Northwest Territories,"Pulp, paper and paperboard mills  [BS32210] 12",0,0,0,0,0,0,0,0,0,0
Northwest Territories,Converted paper product manufacturing  [BS32220],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Printing and related support activities  [BS32300],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Petroleum and coal product manufacturing  [BS32400],0,0,0,0,0,0,0,0,0,0
Northwest Territories,Basic chemical manufacturing  [BS32510],0,0,0,0,0,0,3,4,7,7
Northwest Territories,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0,0,0,0,0,0,0,0,0,0
